run_id,config_label,baseline_variant,filename,base__property_result,base__frame_sizes,base__total_time,base__k,base__solver,base__max_memory(MB),base__execution_time(s),base__cpu_time(s),base__exit_code,base__timed_out,asc_l1l2__property_result,asc_l1l2__frame_sizes,asc_l1l2__total_time,asc_l1l2__k,asc_l1l2__solver,asc_l1l2__max_memory(MB),asc_l1l2__execution_time(s),asc_l1l2__cpu_time(s),asc_l1l2__exit_code,asc_l1l2__timed_out,desc_l2l1__property_result,desc_l2l1__frame_sizes,desc_l2l1__total_time,desc_l2l1__k,desc_l2l1__solver,desc_l2l1__max_memory(MB),desc_l2l1__execution_time(s),desc_l2l1__cpu_time(s),desc_l2l1__exit_code,desc_l2l1__timed_out,pic3__property_result,pic3__frame_sizes,pic3__total_time,pic3__k,pic3__solver,pic3__max_memory(MB),pic3__execution_time(s),pic3__cpu_time(s),pic3__exit_code,pic3__timed_out,base_x3__property_result,base_x3__frame_sizes,base_x3__total_time,base_x3__k,base_x3__solver,base_x3__max_memory(MB),base_x3__execution_time(s),base_x3__cpu_time(s),base_x3__exit_code,base_x3__timed_out
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/misc/stalmark_e7_76.lus,Safe,6 5 3,0.102,4,201,42.71,0.52,0.11,0,false,Safe,6 5 3,0.120,4,201,42.72,0.63,0.13,0,false,Safe,6 5 3,0.098,4,191,43.06,0.53,0.11,0,false,Safe,6 5 3,0.108,4,201,89.72,0.52,0.31,0,false,Safe,6 5 3,0.110,4,201,89.25,0.52,0.32,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/simulation/ums_e8_1032.lus,Safe,3,0.112,2,46,45.39,0.63,0.15,0,false,Safe,7,0.224,2,105,45.61,0.73,0.23,0,false,Safe,3,0.112,2,46,45.37,0.63,0.14,0,false,Safe,3,0.114,2,46,89.23,0.63,0.40,0,false,Safe,3,0.118,2,46,88.88,0.63,0.37,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/simulation/production_cell_e7_207_e7_41.lus,Unsafe,,0.016,0,2,33.80,0.52,0.04,40,false,Unsafe,,0.017,0,2,20.73,0.52,0.04,40,false,Unsafe,,0.016,0,2,21.02,0.53,0.05,40,false,Unsafe,,0.016,0,2,63.45,0.43,0.08,40,false,Unsafe,,0.025,0,2,21.27,0.55,0.14,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/simulation/tramway.lus,Safe,10 8 4,0.589,4,732,47.09,1.04,0.59,0,false,Safe,8 4,0.330,3,347,46.09,0.83,0.33,0,false,Safe,10 8 4,0.571,4,713,47.70,1.04,0.57,0,false,Safe,7 3,0.358,3,399,100.38,0.73,1.03,0,false,Safe,10 8 4,0.655,4,732,104.30,1.15,1.95,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/simulation/ums_e7_1700.lus,Unsafe,7,0.290,1,141,46.62,0.73,0.32,40,false,Unsafe,12,0.470,1,244,46.74,0.93,0.48,40,false,Unsafe,8,0.303,1,146,46.46,0.85,0.37,40,false,Unsafe,7,0.296,1,141,100.45,0.73,0.97,40,false,Unsafe,7,0.307,1,141,99.89,0.73,0.96,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/simulation/production_cell_e7_21.lus,Unsafe,,0.016,0,2,33.83,0.52,0.04,40,false,Unsafe,,0.017,0,2,33.53,0.52,0.04,40,false,Unsafe,,0.017,0,2,41.80,0.55,0.06,40,false,Unsafe,,0.016,0,2,63.30,0.52,0.08,40,false,Unsafe,,0.016,0,2,63.75,0.52,0.08,40,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/simulation/production_cell_e7_207_e8_241.lus,Safe,5,0.076,2,73,43.89,0.53,0.09,0,false,Safe,5,0.083,2,73,42.21,0.53,0.10,0,false,Safe,5,0.081,2,73,44.34,0.53,0.10,0,false,Safe,5,0.079,2,73,95.30,0.54,0.25,0,false,Safe,5,0.082,2,73,95.37,0.52,0.26,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/simulation/tramway_e7_1834_e8_3192.lus,Safe,10 8 4,0.588,4,732,47.25,1.05,0.59,0,false,Safe,8 4,0.352,3,347,46.00,0.84,0.36,0,false,Safe,10 8 4,0.564,4,713,47.81,1.04,0.56,0,false,Safe,3 1 0,0.385,3,421,100.63,0.84,1.08,0,false,Safe,10 8 4,0.644,4,732,102.86,1.05,1.90,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/simulation/production_cell_e8_6.lus,Safe,5,0.077,2,74,44.17,0.53,0.10,0,false,Safe,5,0.094,2,74,41.17,0.63,0.12,0,false,Safe,5,0.078,2,74,41.61,0.54,0.10,0,false,Safe,5,0.079,2,74,94.97,0.52,0.25,0,false,Safe,5,0.082,2,74,95.00,0.52,0.26,0,false
compare_single_p_907_with_base_x3,compare_single_p_907_resume,base,FMCAD08/Bool/simulation/tramway_e7_1834_e7_2363.lus,Safe,4,0.092,2,64,42.87,0.53,0.12,0,false,Safe,3,0.083,2,51,43.21,0.52,0.10,0,false,Safe,4,0.092,2,64,45.34,0.52,0.11,0,false,Safe,4,0.094,2,64,97.01,0.53,0.29,0,false,Safe,4,0.099,2,64,96.32,0.52,0.32,0,false
