filename,property_result,frame_sizes,total_time,k,solver,max_memory(MB),execution_time(s),cpu_time(s),exit_code,timed_out,variant
FMCAD08/Int/memory1/FIREFLY_luke_1a_e7_3042_e3_1213.lus,Timeout,42 41 40 39 38 37 36 35 34 33 32,207.489,11,28915,638.49,302.26,1.68,1,true,base_x3
FMCAD08/Int/memory1/DRAGON_3_e3_3846.lus,Safe,1,0.075,2,25,51.29,0.52,0.27,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_5_e1_2552_e7_1169.lus,Safe,1,0.050,2,25,101.22,0.52,0.18,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_3_e2_2236_e1_2305.lus,Safe,1,0.050,2,25,94.20,0.54,0.18,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_all_e3_1600_e3_2055.lus,Unsafe,0,0.077,1,18,91.22,0.52,0.27,40,false,base_x3
FMCAD08/Int/memory1/FIREFLY_luke_1b_e2_3049_e1_946.lus,Safe,1,0.046,2,22,20.15,0.53,0.17,0,false,base_x3
FMCAD08/Int/memory1/FIREFLY_1_e1_1092.lus,Unsafe,0,0.057,1,15,100.60,0.52,0.21,40,false,base_x3
FMCAD08/Int/memory1/DRAGON_10.lus,Safe,2,0.091,2,39,65.62,0.63,0.32,0,false,base_x3
FMCAD08/Int/simulation/metros_4_e1_917.lus,Timeout,28 25 21 17 15 13 11 9 7 5 3 2,84.174,12,21187,641.03,302.27,1.68,1,true,base_x3
FMCAD08/Int/simulation/metros_1_e1_846_e2_1394.lus,Safe,7 4 2,1.048,4,1003,114.18,1.46,3.07,0,false,base_x3
FMCAD08/Int/simulation/car_4_e7_592_e7_265.lus,Safe,2,0.045,2,34,100.58,0.52,0.15,0,false,base_x3
FMCAD08/Int/simulation/car_all_e8_856.lus,Safe,5 2,0.310,3,355,105.20,0.73,0.91,0,false,base_x3
FMCAD08/Int/simulation/PRODUCER_CONSUMER_all.lus,Safe,2,0.054,2,41,20.13,0.52,0.18,0,false,base_x3
FMCAD08/Int/simulation/car_4_e3_57_e6_784.lus,Safe,2,0.047,2,39,101.31,0.52,0.15,0,false,base_x3
FMCAD08/Int/simulation/metros_2_e1_190.lus,Safe,17 12 10 8 7 6 5 4 3 2 1 0,75.133,13,26135,341.60,75.87,181.10,0,false,base_x3
